Rec,Inf,UID,Name,Position,Club,Nat,Height,Weight,Age,Transfer Value,Wage,Preferred Foot,Left Foot,Right Foot,Personality,Media Handling,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr
- - -,Inj,85085378,Aymeric Laporte,D (C),Man City,ESP,191 cm,85 kg,28,Not for Sale,"£130,000 p/w",Left,Very Strong,Reasonable,Fairly Professional,Level-headed,8,11,13,8,15,10,16,11,8,16,16,11,15,15,13,16,15,16,15,16,14,12,13,14,16,13,16,14,14,13,12,16,15,14,15,14,2,2,3,3,2,2,1,4,1,3,2
- - -,,67217524,Rodri,"DM, M (C)",Man City,ESP,191 cm,75 kg,26,Not for Sale,"£160,000 p/w",Right,Fairly Strong,Very Strong,Professional,Unflappable,7,8,13,9,15,8,13,14,8,12,15,8,17,14,13,18,15,17,16,18,13,9,11,13,17,16,14,16,14,13,12,17,16,13,17,16,2,4,1,2,3,1,1,3,2,1,1
- - -,,92020288,Heung-Min Son,"M/AM (L), ST (C)",Tottenham,KOR,183 cm,77 kg,29,Not for Sale,"£190,000 p/w",Either,Very Strong,Very Strong,Professional,Media-friendly,14,14,16,18,13,10,8,16,6,5,13,9,6,17,8,15,6,17,11,14,14,13,13,18,7,14,12,17,16,14,12,10,16,16,16,10,1,1,3,3,2,1,3,3,1,3,1
- - -,,91003875,İlkay Gündogan,"DM, M/AM (C)",Man City,GER,180 cm,80 kg,31,£28M - £85M,"£165,000 p/w",Right,Fairly Strong,Very Strong,Ambitious,Media-friendly,10,11,14,13,17,14,7,12,6,10,16,14,13,16,15,17,13,16,14,14,13,13,10,16,12,16,16,15,14,16,14,10,13,13,16,13,3,3,4,3,2,3,3,1,1,3,2
- - -,,85121966,Édouard Mendy,GK,Chelsea,SEN,194 cm,89 kg,30,£96M - £288M,"£50,000 p/w",Right,Reasonable,Very Strong,Balanced,Level-headed,5,1,3,1,11,6,8,2,1,2,14,4,2,11,10,14,12,13,16,16,12,8,10,1,16,13,8,10,12,15,14,17,15,11,14,15,18,16,13,14,16,13,14,8,16,12,12
- - -,,85075627,Raphaël Varane,D (C),Man UFC,FRA,191 cm,81 kg,29,£86M - £257M,"£350,000 p/w",Right,Weak,Very Strong,Light-Hearted,Unflappable,4,6,10,6,13,8,16,6,10,17,14,10,16,14,11,16,13,13,15,13,12,11,10,6,17,14,9,12,16,13,11,17,16,16,15,15,2,3,3,2,2,1,2,1,3,3,3
- - -,,28108494,Phil Foden,AM (RLC),Man City,ENG,171 cm,64 kg,22,£64M - £191M,"£120,000 p/w",Left,Very Strong,Reasonable,Fairly Ambitious,Level-headed,13,13,17,14,17,13,8,12,5,8,17,12,8,17,7,14,13,15,15,14,14,16,8,16,9,14,16,16,15,17,15,7,14,16,15,9,3,2,3,3,1,3,1,1,1,1,2
- - -,,85081880,N'Golo Kanté,"DM, M (C)",Chelsea,FRA,168 cm,72 kg,31,£104M - £312M,"£300,000 p/w",Right,Weak,Very Strong,Model Citizen,"Evasive, Unflappable",6,12,11,10,14,8,10,10,6,12,15,12,19,14,15,20,15,14,16,16,19,13,5,15,15,20,14,20,14,13,15,7,18,14,18,11,2,3,2,2,3,1,1,3,2,1,1
- - -,,55041623,João Cancelo,"D/WB (RL), M (R)",Man City,POR,182 cm,74 kg,28,£116M - £349M,"£180,000 p/w",Right,Reasonable,Very Strong,Fairly Professional,Media-friendly,12,16,16,11,15,12,10,12,12,9,16,11,13,17,12,14,12,12,12,15,13,17,7,14,13,13,16,14,16,16,14,11,15,16,14,12,3,2,2,1,1,1,1,1,2,3,1
- - -,,67022040,Thiago,"DM, M/AM (C)",Liverpool,ESP,174 cm,70 kg,31,Not for Sale,"£225,000 p/w",Right,Reasonable,Very Strong,Resolute,Level-headed,13,14,17,9,18,12,10,12,5,12,18,12,15,18,14,16,12,17,14,15,15,18,11,15,13,15,18,15,14,17,15,10,12,11,14,9,3,3,2,2,2,3,2,2,2,3,3
- - -,,19220266,Gabriel Jesus,"AM (RL), ST (C)",Arsenal,BRA,175 cm,73 kg,25,£100M - £299M,"£100,000 p/w",Right,Fairly Strong,Very Strong,Balanced,Level-headed,7,12,16,16,15,11,15,12,4,6,14,13,8,16,12,15,13,15,14,15,13,16,8,16,7,15,14,16,15,16,15,10,15,15,14,13,1,2,4,2,2,1,2,2,2,4,3
- - -,,8833628,Thiago Silva,D (C),Chelsea,BRA,183 cm,79 kg,37,£12M - £36M,"£99,000 p/w",Right,Weak,Very Strong,Leader,Level-headed,4,5,9,7,14,8,17,7,7,17,13,14,16,13,17,17,15,20,17,17,15,8,19,8,19,15,13,14,10,12,16,13,14,10,14,14,2,3,2,2,1,2,2,1,2,2,1
- - -,,85078058,Riyad Mahrez,"M (R), AM (RL)",Man City,ALG,179 cm,67 kg,31,£35M - £105M,"£200,000 p/w",Left,Very Strong,Reasonable,Fairly Ambitious,Media-friendly,14,16,17,16,20,14,8,13,4,5,16,13,8,17,6,13,7,16,13,13,13,17,5,15,5,13,17,13,15,17,15,9,14,14,14,8,3,1,1,1,2,1,1,2,2,2,4
- - -,,43124203,Bruno Fernandes,M/AM (C),Man UFC,POR,179 cm,69 kg,27,£114M - £343M,"£250,000 p/w",Right,Fairly Strong,Very Strong,Perfectionist,Outspoken,16,16,11,15,17,16,10,16,4,3,17,19,8,17,18,16,17,15,14,10,17,17,17,17,6,15,18,15,13,15,13,9,18,14,19,10,3,3,1,4,3,2,3,1,1,2,1
- - -,,28054109,Raheem Sterling,M/AM (RL),Chelsea,ENG,170 cm,69 kg,27,£134M - £401M,"£350,000 p/w",Right,Weak,Very Strong,Ambitious,Media-friendly,8,13,15,13,13,10,12,12,5,7,13,8,8,13,12,18,11,12,13,13,13,14,12,20,9,14,13,15,18,18,14,8,20,17,18,12,2,1,1,3,1,3,3,2,3,3,3
- - -,,53095137,Martin Ødegaard,M/AM (C),Arsenal,NOR,178 cm,68 kg,23,£118M - £354M,"£115,000 p/w",Left,Very Strong,Reasonable,Professional,Level-headed,14,14,16,12,17,15,9,13,7,10,16,10,8,17,7,18,10,15,12,16,15,16,8,16,9,17,17,14,14,16,15,9,13,13,15,11,3,2,4,2,2,2,3,2,2,3,3
- - -,,19183676,Fabinho,"D (RC), DM, M (C)",Liverpool,BRA,188 cm,78 kg,28,£47M - £140M,"£180,000 p/w",Right Only,Weak,Very Strong,Spirited,Evasive,6,11,13,9,16,7,14,12,8,15,15,15,16,15,16,16,15,15,15,16,15,11,10,12,16,17,13,15,14,14,14,14,16,14,15,14,3,2,1,1,2,2,1,1,2,1,1
- - -,,19061518,Casemiro,"DM, M (C)",Man UFC,BRA,185 cm,84 kg,30,£90M - £271M,"£300,000 p/w",Right,Fairly Strong,Very Strong,Spirited,Evasive,10,11,12,11,14,10,13,14,10,14,14,11,15,14,18,14,16,15,14,15,17,12,15,12,18,17,12,18,11,12,15,13,15,12,17,17,4,3,1,3,4,1,3,2,3,1,1
- - -,,28009441,Kyle Walker,D/WB (R),Man City,ENG,178 cm,83 kg,32,Not for Sale,"£175,000 p/w",Right,Reasonable,Very Strong,Fairly Determined,Level-headed,8,11,14,7,13,11,13,8,12,14,13,6,13,13,13,16,13,13,13,13,16,10,11,13,14,15,12,16,19,13,13,11,19,18,17,13,1,1,3,2,2,2,1,1,3,1,3
- - -,,67030171,David De Gea,GK,Man UFC,ESP,192 cm,76 kg,31,£34M - £101M,"£375,000 p/w",Right,Reasonable,Very Strong,Resolute,Reserved,4,3,3,3,13,8,3,3,3,2,5,2,2,8,5,14,11,10,14,13,16,5,13,10,15,9,5,12,13,17,12,15,17,13,12,13,16,8,10,6,16,14,14,10,19,3,8
- - -,,43017197,Pierre-Emerick Aubameyang,"AM (RL), ST (C)",Chelsea,GAB,187 cm,80 kg,33,£7.4M - £22M,"£170,000 p/w",Right,Reasonable,Very Strong,Balanced,Level-headed,5,10,14,15,14,11,12,14,2,5,12,15,6,14,12,15,12,14,12,13,10,17,13,17,8,12,13,11,15,14,15,14,13,15,14,12,1,1,3,3,1,3,2,2,1,2,2
- - -,,28067800,Jack Grealish,"M (RL), AM (RLC)",Man City,ENG,175 cm,82 kg,26,£124M - £373M,"£275,000 p/w",Either,Strong,Very Strong,Spirited,Level-headed,13,16,17,14,15,11,11,13,3,6,14,12,9,16,11,13,14,14,11,13,14,16,12,13,11,14,16,15,15,15,14,7,15,15,14,14,3,1,2,1,3,1,2,2,3,1,1
- - -,,28060397,John Stones,D (C),Man City,ENG,188 cm,72 kg,28,£56M - £167M,"£200,000 p/w",Right,Fairly Strong,Very Strong,Fairly Professional,Level-headed,5,8,13,8,14,5,14,5,8,13,16,12,16,15,13,15,16,17,15,14,13,12,13,14,16,16,14,17,14,13,12,16,16,15,16,15,1,1,3,3,2,1,2,1,1,2,1
- - -,,28106491,Declan Rice,"D (C), DM, M (C)",West Ham,ENG,185 cm,80 kg,23,£40M - £120M,"£60,000 p/w",Right,Reasonable,Very Strong,Resolute,Reserved,7,11,14,9,14,8,12,9,10,14,15,11,17,14,13,15,14,17,15,15,17,10,16,16,17,16,14,17,13,13,13,12,18,13,17,13,3,1,1,3,1,2,2,1,1,1,4
- - -,,19068857,Roberto Firmino,"AM (RLC), ST (C)",Liverpool,BRA,181 cm,76 kg,30,£21M - £63M,"£180,000 p/w",Right,Weak,Very Strong,Spirited,Unflappable,8,12,14,11,17,8,12,10,7,13,13,12,12,18,13,15,11,17,13,13,13,16,8,15,13,18,16,16,13,15,17,10,17,13,16,14,2,3,2,4,2,1,2,1,1,2,3
- - -,,27010680,Christian Eriksen,"DM, M/AM (C)",Man UFC,DEN,182 cm,76 kg,30,£83M - £248M,"£170,000 p/w",Either,Strong,Very Strong,Model Citizen,Unflappable,16,16,13,14,18,17,5,15,3,5,17,16,6,17,7,15,8,15,15,17,14,14,8,15,12,17,17,16,12,13,12,8,17,11,15,7,3,2,2,3,2,1,2,3,2,2,1
- - -,,43036641,Jorginho,"DM, M (C)",Chelsea,ITA,180 cm,65 kg,30,£88M - £264M,"£110,000 p/w",Right,Reasonable,Very Strong,Resolute,Level-headed,11,12,12,8,18,9,7,9,2,10,18,18,14,16,10,16,14,19,15,18,15,13,15,15,14,17,18,17,11,14,14,9,14,12,17,9,2,3,2,3,1,1,3,1,2,3,1
- - -,,24016925,Mateo Kovačić,"DM, M/AM (C)",Chelsea,CRO,178 cm,78 kg,28,£45M - £134M,"£150,000 p/w",Right,Reasonable,Very Strong,Resolute,Level-headed,10,10,17,8,17,12,10,10,7,12,15,12,15,17,14,16,14,18,11,16,17,16,11,13,12,15,15,17,15,15,16,9,12,14,15,15,2,2,2,2,3,3,3,2,2,3,3
- - -,Wnt,28005568,Jordan Henderson,"DM, M (C)",Liverpool,ENG,183 cm,80 kg,32,Not for Sale,"£190,000 p/w",Right,Weak,Very Strong,Model Citizen,Unflappable,11,13,11,8,15,10,10,9,9,15,13,10,14,14,14,15,16,15,15,14,19,11,19,14,16,18,14,18,13,13,14,13,15,14,18,15,1,2,2,3,4,3,1,3,2,2,2
- - -,,19046041,Philippe Coutinho,M/AM (LC),Aston Villa,BRA,172 cm,71 kg,30,£25M - £76M,"£125,000 p/w",Either,Strong,Very Strong,Fairly Professional,Media-friendly,13,14,18,12,17,16,9,16,4,5,15,13,6,19,10,13,9,14,11,13,12,18,10,16,7,11,17,12,14,15,12,7,10,11,13,10,4,3,3,2,1,3,3,1,2,2,3
- - -,,76049803,Luis Díaz,AM (L),Liverpool,COL,180 cm,70 kg,25,£109M - £326M,"£90,000 p/w",Right,Fairly Strong,Very Strong,Spirited,Media-friendly,9,12,18,15,18,10,13,13,4,7,14,5,8,18,13,13,13,14,13,13,15,19,4,15,9,13,14,14,17,17,14,10,15,16,13,10,2,2,2,1,2,1,1,4,3,1,3
- - -,,91151081,Kai Havertz,"AM (C), ST (C)",Chelsea,GER,186 cm,77 kg,23,£132M - £395M,"£150,000 p/w",Left,Very Strong,Reasonable,Light-Hearted,Unflappable,11,12,14,16,18,11,13,11,8,7,14,12,10,17,11,15,11,17,10,16,10,15,7,17,10,15,17,13,13,13,13,14,16,17,15,13,4,3,3,1,3,1,1,2,2,2,2
- - -,nEU,19259600,Arthur,"DM, M (C)",Liverpool,BRA,172 cm,67 kg,25,£5M - £15M,"£125,000 p/w",Right,Fairly Strong,Very Strong,Balanced,Media-friendly,12,12,15,8,16,12,7,10,5,8,18,11,11,16,10,15,11,14,15,14,13,14,9,8,13,14,12,12,13,17,17,8,9,12,13,11,1,2,2,3,3,1,2,2,2,3,3
- - -,,34012563,Ivan Perišić,WB/M/AM (L),Tottenham,CRO,186 cm,80 kg,33,Not for Sale,"£180,000 p/w",Either,Strong,Very Strong,Ambitious,Media-friendly,11,13,12,15,15,12,16,12,9,12,13,14,12,14,14,15,11,13,13,13,14,12,11,17,13,10,13,14,15,14,13,14,17,15,15,12,1,1,1,3,1,3,1,4,1,1,2
- - -,,28100266,Marcus Rashford,"AM (L), ST (C)",Man UFC,ENG,185 cm,70 kg,24,£51M - £153M,"£225,000 p/w",Right,Weak,Very Strong,Spirited,Unflappable,6,13,15,14,14,13,6,12,3,2,14,16,3,15,14,12,12,12,12,11,16,19,10,15,4,13,13,10,18,16,15,8,17,17,14,13,3,1,3,3,1,1,3,2,4,2,3
- - -,,85051083,Kalidou Koulibaly,D (C),Chelsea,SEN,187 cm,89 kg,31,Not for Sale,"£300,000 p/w",Right,Reasonable,Very Strong,Fairly Ambitious,Level-headed,4,6,10,10,12,4,16,6,6,18,13,6,17,11,15,14,18,10,8,13,11,8,13,10,16,16,10,16,12,14,15,15,13,17,15,19,1,2,1,3,3,1,1,1,1,2,2
- - -,,28122642,Bukayo Saka,AM (RL),Arsenal,ENG,178 cm,67 kg,20,£118M - £354M,"£30,000 p/w",Left,Very Strong,Reasonable,Spirited,Evasive,12,14,15,11,14,8,7,12,7,9,13,12,10,15,11,16,11,14,14,16,16,16,6,16,9,15,15,15,17,16,16,9,15,15,15,9,2,2,2,4,3,3,2,1,1,3,1
- - -,,28108035,Reece James,"D (RC), WB (R), DM",Chelsea,ENG,175 cm,90 kg,22,£110M - £331M,"£250,000 p/w",Right,Reasonable,Very Strong,Professional,"Evasive, Reserved",13,18,11,12,14,14,14,11,9,13,13,7,14,15,16,14,18,16,14,17,17,12,13,12,13,15,11,16,15,12,19,10,15,14,15,19,1,4,2,3,2,2,2,3,3,1,4
- - -,,28049740,Harry Maguire,D (C),Man UFC,ENG,194 cm,100 kg,29,£49M - £147M,"£200,000 p/w",Right,Reasonable,Very Strong,Resolute,Reserved,4,6,12,8,13,6,17,7,7,16,13,5,16,13,14,15,17,13,12,12,15,12,15,7,17,14,12,12,10,8,13,16,17,12,17,17,4,2,3,3,3,3,1,2,2,3,2
- - -,,61043456,Andrew Robertson,D/WB (L),Liverpool,SCO,178 cm,64 kg,28,£87M - £260M,"£160,000 p/w",Left Only,Very Strong,Very Weak,Spirited,Evasive,14,16,12,5,15,9,10,6,13,15,14,7,15,14,17,14,15,15,14,15,16,11,15,14,14,16,13,17,16,14,14,9,17,16,18,12,2,2,3,2,1,3,1,3,2,2,2
- - -,,28104124,Trent Alexander-Arnold,"D/WB (R), M (C)",Liverpool,ENG,180 cm,70 kg,23,£91M - £273M,"£160,000 p/w",Right,Fairly Strong,Very Strong,Resolute,Level-headed,15,17,12,10,17,14,11,12,14,11,16,12,13,17,12,13,11,15,12,15,15,14,12,15,11,16,16,14,14,14,14,11,15,14,14,13,1,1,2,1,1,1,1,1,2,2,2
- - -,,8428653,Hugo Lloris,GK,Tottenham,FRA,188 cm,82 kg,35,£18M - £53M,"£110,000 p/w",Left Only,Very Strong,Weak,Model Citizen,Reserved,3,2,5,1,8,8,9,2,1,4,8,3,10,10,15,17,17,7,15,14,15,6,15,6,16,15,9,14,11,15,11,13,15,10,14,13,11,12,13,12,16,11,15,13,17,13,11
- - -,,28103590,Mason Mount,"M (C), AM (RLC)",Chelsea,ENG,178 cm,70 kg,23,£54M - £163M,"£77,000 p/w",Right,Fairly Strong,Very Strong,Driven,Media-friendly,14,12,11,14,15,14,9,12,5,7,15,15,11,15,14,14,15,15,12,16,18,13,12,17,14,18,12,20,15,13,10,9,15,15,20,11,3,3,4,1,3,1,2,1,2,3,2
- - -,,67175052,Thomas Partey,"DM, M (C)",Arsenal,GHA,185 cm,80 kg,29,£48M - £143M,"£160,000 p/w",Right,Reasonable,Very Strong,Balanced,Level-headed,8,10,12,10,14,9,13,13,10,12,15,8,14,13,13,15,14,15,13,15,13,11,12,13,14,16,14,15,13,13,12,14,11,14,16,15,1,1,3,2,2,1,3,3,1,3,2
- - -,,43295814,Dejan Kulusevski,"M (R), AM (RC)",Tottenham,SWE,186 cm,79 kg,22,£31M - £94M,"£77,000 p/w",Left,Very Strong,Fairly Strong,Spirited,Level-headed,11,14,16,13,15,9,7,11,4,4,17,11,7,16,7,15,8,13,12,16,15,15,6,14,6,14,16,14,13,14,17,12,14,14,16,15,2,2,2,1,4,1,3,2,2,3,1
- - -,,85086702,Anthony Martial,"AM (L), ST (C)",Man UFC,FRA,181 cm,76 kg,26,£18M - £54M,"£250,000 p/w",Right,Fairly Strong,Very Strong,Balanced,Media-friendly,5,8,16,15,16,8,11,12,2,5,14,15,4,16,5,13,10,15,11,13,8,17,6,13,5,14,8,10,15,16,15,9,15,16,16,13,2,1,2,2,3,1,2,1,3,1,3
- - -,,71081391,Oleksandr Zinchenko,"D/WB (L), DM, M/AM (RLC)",Arsenal,UKR,175 cm,61 kg,25,£95M - £284M,"£100,000 p/w",Left,Very Strong,Fairly Strong,Driven,Level-headed,12,12,13,10,13,13,12,12,9,11,13,9,12,14,13,15,15,16,14,14,18,13,9,15,11,16,14,16,13,13,14,10,13,14,15,10,1,3,3,2,2,1,3,3,1,2,2
- - -,,92074020,Christian Pulisic,"M (RL), AM (RLC)",Chelsea,USA,173 cm,73 kg,23,£32M - £95M,"£150,000 p/w",Right,Fairly Strong,Very Strong,Ambitious,Media-friendly,12,11,16,13,15,10,8,10,5,6,11,10,8,15,13,15,14,12,10,14,14,15,12,15,8,14,14,16,17,17,8,7,13,15,14,9,1,3,3,1,1,4,2,3,4,3,1
- - -,,28108490,Jadon Sancho,M/AM (RL),Man UFC,ENG,180 cm,76 kg,22,£69M - £207M,"£275,000 p/w",Right,Reasonable,Very Strong,Ambitious,Media-friendly,13,13,18,14,16,13,5,10,6,7,17,12,7,18,11,15,9,13,12,14,13,16,9,15,6,13,17,13,16,18,14,9,13,15,13,8,3,2,4,3,3,2,1,2,3,1,1
- - -,,19030933,Neto,GK,Bournemouth,BRA,190 cm,84 kg,32,£12.5M - £38M,"£100,000 p/w",Right Only,Weak,Very Strong,Spirited,Level-headed,4,2,3,1,10,5,6,2,3,1,11,4,1,9,7,16,12,16,15,13,15,6,12,3,16,12,11,13,12,16,15,15,14,13,14,15,13,14,14,8,13,10,15,13,17,14,12
- - -,,85140676,Naby Keïta,"DM, M (C)",Liverpool,GUI,172 cm,64 kg,27,£17.5M - £52M,"£130,000 p/w",Right,Reasonable,Very Strong,Fairly Ambitious,Media-friendly,8,12,16,11,15,10,7,11,6,12,15,9,13,16,13,17,12,15,14,14,14,15,7,15,15,16,15,15,15,16,17,8,12,14,17,11,2,1,2,1,2,1,2,2,2,2,1
- - -,,29113879,Kalvin Phillips,"DM, M (C)",Man City,ENG,178 cm,72 kg,26,£21M - £63M,"£160,000 p/w",Right,Reasonable,Very Strong,Spirited,Unflappable,13,12,11,9,13,13,11,11,5,13,15,10,16,13,16,15,16,13,14,13,16,10,10,11,15,15,14,18,13,13,14,11,18,14,17,14,3,2,2,2,2,1,3,1,3,1,2
- - -,,91018389,Joël Matip,D (C),Liverpool,CMR,195 cm,90 kg,30,£50M - £149M,"£140,000 p/w",Right,Weak,Very Strong,Fairly Professional,Reserved,4,7,15,5,15,5,16,3,8,15,15,5,15,14,15,15,14,15,16,15,14,11,8,11,17,15,12,15,14,14,12,16,13,14,15,14,1,3,1,3,2,2,3,4,2,2,1
- - -,Wnt,61070563,Kieran Tierney,"D (LC), WB (L)",Arsenal,SCO,178 cm,76 kg,25,£26M - £77M,"£110,000 p/w",Left,Very Strong,Reasonable,Driven,Evasive,10,15,14,11,13,10,12,11,15,13,12,8,15,13,15,13,16,12,13,13,18,12,14,13,13,19,12,18,15,15,15,12,13,14,15,11,2,1,2,3,4,1,3,1,1,2,3
- - -,,85032335,Idrissa Gueye,"DM, M (C)",Everton,SEN,174 cm,66 kg,32,Not for Sale,"£130,000 p/w",Right,Reasonable,Very Strong,Resolute,Media-friendly,8,9,10,6,13,7,11,13,9,14,12,8,18,13,14,17,16,13,16,13,16,8,12,9,14,17,13,18,14,14,12,8,15,13,16,13,1,2,2,1,1,1,2,1,1,1,1
- - -,Inj,55083779,Diogo Jota,"AM (RL), ST (C)",Liverpool,POR,178 cm,73 kg,25,£38M - £113M,"£140,000 p/w",Right,Fairly Strong,Very Strong,Spirited,Evasive,7,12,16,15,14,10,15,12,4,8,13,11,8,15,14,14,12,14,13,14,17,16,5,15,9,14,13,14,16,16,13,11,14,15,13,11,3,3,3,1,1,3,3,2,2,1,3
- - -,,19265858,Richarlison,"AM (RL), ST (C)",Tottenham,BRA,181 cm,71 kg,25,£27M - £81M,"£175,000 p/w",Right,Fairly Strong,Very Strong,Balanced,Media-friendly,10,11,15,14,13,9,14,11,8,6,12,12,12,15,15,12,13,12,12,10,14,14,9,14,10,12,10,16,15,14,12,11,15,15,17,13,2,2,1,2,2,2,2,1,2,2,3
- - -,,28018613,Kieran Trippier,D/WB (R),Newcastle,ENG,178 cm,72 kg,31,Not for Sale,"£100,000 p/w",Right,Weak,Very Strong,Resolute,Reserved,14,16,12,9,14,16,11,10,11,13,13,5,15,14,12,14,13,15,13,14,15,8,16,15,14,16,14,17,13,13,14,9,16,14,16,12,2,1,2,3,2,1,3,3,2,2,1
- - -,,37025551,Nathan Aké,"D (LC), DM",Man City,NED,180 cm,75 kg,27,£18.5M - £56M,"£110,000 p/w",Left,Very Strong,Reasonable,Perfectionist,Level-headed,2,10,13,8,14,6,15,10,10,15,14,3,15,14,12,15,14,15,15,13,15,6,14,5,15,14,13,16,16,14,13,12,14,15,15,15,2,1,1,3,1,2,2,3,1,2,4
- - -,,67086280,Rodrigo,"AM (RLC), ST (C)",Leeds,ESP,182 cm,77 kg,31,Not for Sale,"£100,000 p/w",Left,Very Strong,Weak,Fairly Professional,Level-headed,11,12,14,11,15,12,8,12,3,5,13,13,7,15,13,13,14,13,8,12,13,14,11,15,4,13,13,12,16,16,14,12,14,15,14,11,3,3,1,3,3,3,2,2,1,2,3
- - -,,67157624,Kepa Arrizabalaga,GK,Chelsea,ESP,186 cm,90 kg,27,£6.2M - £18.5M,"£145,000 p/w",Right,Reasonable,Very Strong,Fairly Professional,Level-headed,3,3,3,2,11,5,1,3,1,3,11,3,2,11,8,14,12,14,15,12,13,2,10,5,12,13,11,12,9,15,12,14,12,12,12,11,14,13,14,5,16,15,15,13,16,15,13
